Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2008,IRQ,Iraq,PER,Peru,AUS,Australia,1
2005,IRQ,Iraq,VEN,"Venezuela, Bolivarian Republic of",AUS,Australia,2
2003,AFG,Afghanistan,CUB,Cuba,BRA,Brazil,7
2014,SYR,Syrian Arab Republic,CUB,Cuba,BRA,Brazil,2
2013,AFG,Afghanistan,ECU,Ecuador,BRA,Brazil,1
2010,AFG,Afghanistan,MEX,Mexico,BRA,Brazil,1
2017,IRN,Iran,BHS,Bahamas,CAN,Canada,1
2015,AFG,Afghanistan,CUB,Cuba,CAN,Canada,4
2016,AFG,Afghanistan,CUB,Cuba,CAN,Canada,12
2018,AFG,Afghanistan,CUB,Cuba,CAN,Canada,1
2008,ERI,Eritrea,CUB,Cuba,CAN,Canada,5
2009,ERI,Eritrea,CUB,Cuba,CAN,Canada,1
2010,ERI,Eritrea,CUB,Cuba,CAN,Canada,1
2016,ERI,Eritrea,CUB,Cuba,CAN,Canada,6
2008,IRN,Iran,CUB,Cuba,CAN,Canada,3
2009,IRN,Iran,CUB,Cuba,CAN,Canada,1
2013,IRN,Iran,CUB,Cuba,CAN,Canada,1
2014,IRN,Iran,CUB,Cuba,CAN,Canada,1
2016,IRN,Iran,CUB,Cuba,CAN,Canada,9
2018,IRN,Iran,CUB,Cuba,CAN,Canada,1
2016,IRQ,Iraq,CUB,Cuba,CAN,Canada,2
2009,SOM,Somalia,CUB,Cuba,CAN,Canada,1
2014,SOM,Somalia,CUB,Cuba,CAN,Canada,1
2016,SOM,Somalia,CUB,Cuba,CAN,Canada,1
2003,SDN,Sudan,CUB,Cuba,CAN,Canada,3
2012,SYR,Syrian Arab Republic,CUB,Cuba,CAN,Canada,2
2016,SYR,Syrian Arab Republic,CUW,Curacao,CAN,Canada,3
2019,AFG,Afghanistan,DOM,Dominican Republic,CAN,Canada,4
2008,AFG,Afghanistan,ECU,Ecuador,CAN,Canada,4
2018,SYR,Syrian Arab Republic,HTI,Haiti,CAN,Canada,1
2016,SYR,Syrian Arab Republic,JAM,Jamaica,CAN,Canada,3
2017,COD,"Congo, the Democratic Republic of the",TTO,Trinidad and Tobago,CAN,Canada,1
2017,SYR,Syrian Arab Republic,TTO,Trinidad and Tobago,CAN,Canada,7
2018,SYR,Syrian Arab Republic,TTO,Trinidad and Tobago,CAN,Canada,9
2008,IRN,Iran,VEN,"Venezuela, Bolivarian Republic of",CAN,Canada,3
2008,IRQ,Iraq,VEN,"Venezuela, Bolivarian Republic of",CAN,Canada,14
2006,AFG,Afghanistan,CUB,Cuba,DNK,Denmark,1
2007,IRQ,Iraq,CUB,Cuba,DNK,Denmark,1
2010,AFG,Afghanistan,MEX,Mexico,DNK,Denmark,1
2018,SYR,Syrian Arab Republic,ATG,Antigua and Barbuda,FIN,Finland,1
2005,AFG,Afghanistan,CUB,Cuba,FIN,Finland,5
2006,AFG,Afghanistan,CUB,Cuba,FIN,Finland,1
2004,IRN,Iran,CUB,Cuba,FIN,Finland,5
2008,IRQ,Iraq,ECU,Ecuador,FIN,Finland,1
2013,SOM,Somalia,SLV,El Salvador,FIN,Finland,3
2013,SDN,Sudan,SLV,El Salvador,FIN,Finland,36
2018,AFG,Afghanistan,CUB,Cuba,FRA,France,2
2019,AFG,Afghanistan,CUB,Cuba,FRA,France,5
2019,ERI,Eritrea,CUB,Cuba,FRA,France,5
2018,IRN,Iran,CUB,Cuba,FRA,France,1
2019,IRN,Iran,CUB,Cuba,FRA,France,3
2008,IRQ,Iraq,CUB,Cuba,FRA,France,1
2019,SYR,Syrian Arab Republic,CUB,Cuba,FRA,France,2
2013,SOM,Somalia,SLV,El Salvador,FRA,France,8
2013,SDN,Sudan,SLV,El Salvador,FRA,France,13
2013,IRN,Iran,VEN,"Venezuela, Bolivarian Republic of",ISL,Iceland,4
2014,IRN,Iran,VEN,"Venezuela, Bolivarian Republic of",ISL,Iceland,4
2005,AFG,Afghanistan,CUB,Cuba,NLD,Netherlands,1
2019,AFG,Afghanistan,CUB,Cuba,NLD,Netherlands,3
2012,ERI,Eritrea,CUB,Cuba,NLD,Netherlands,4
2019,ERI,Eritrea,CUB,Cuba,NLD,Netherlands,1
2003,IRQ,Iraq,CUB,Cuba,NLD,Netherlands,1
2018,IRQ,Iraq,CUB,Cuba,NLD,Netherlands,1
2018,SYR,Syrian Arab Republic,CUB,Cuba,NLD,Netherlands,1
2011,SDN,Sudan,DOM,Dominican Republic,NLD,Netherlands,4
2006,IRN,Iran,ECU,Ecuador,NLD,Netherlands,1
2008,IRQ,Iraq,ECU,Ecuador,NLD,Netherlands,1
2011,IRN,Iran,GRD,Grenada,NLD,Netherlands,3
2010,AFG,Afghanistan,MEX,Mexico,NLD,Netherlands,1
2019,SDN,Sudan,TTO,Trinidad and Tobago,NLD,Netherlands,1
2011,IRN,Iran,VEN,"Venezuela, Bolivarian Republic of",NLD,Netherlands,4
2008,IRQ,Iraq,ECU,Ecuador,NZL,New Zealand,1
2006,IRQ,Iraq,TTO,Trinidad and Tobago,NZL,New Zealand,1
2012,AFG,Afghanistan,CYM,Cayman Islands,NOR,Norway,2
2006,AFG,Afghanistan,CUB,Cuba,NOR,Norway,1
2019,AFG,Afghanistan,CUB,Cuba,NOR,Norway,1
2016,ERI,Eritrea,CUB,Cuba,NOR,Norway,1
2018,ERI,Eritrea,CUB,Cuba,NOR,Norway,2
2007,IRQ,Iraq,CUB,Cuba,NOR,Norway,1
2008,IRQ,Iraq,CUB,Cuba,NOR,Norway,1
2008,IRQ,Iraq,ECU,Ecuador,NOR,Norway,1
2010,AFG,Afghanistan,MEX,Mexico,NOR,Norway,1
2011,AFG,Afghanistan,CYM,Cayman Islands,SWE,Sweden,1
2005,AFG,Afghanistan,CUB,Cuba,SWE,Sweden,7
2019,AFG,Afghanistan,CUB,Cuba,SWE,Sweden,6
2007,ERI,Eritrea,CUB,Cuba,SWE,Sweden,1
2012,ERI,Eritrea,CUB,Cuba,SWE,Sweden,5
2018,ERI,Eritrea,CUB,Cuba,SWE,Sweden,4
2003,IRN,Iran,CUB,Cuba,SWE,Sweden,3
2004,IRN,Iran,CUB,Cuba,SWE,Sweden,5
2011,IRN,Iran,CUB,Cuba,SWE,Sweden,1
2018,IRN,Iran,CUB,Cuba,SWE,Sweden,6
2003,IRQ,Iraq,CUB,Cuba,SWE,Sweden,1
2003,SDN,Sudan,CUB,Cuba,SWE,Sweden,1
2012,SYR,Syrian Arab Republic,CUB,Cuba,SWE,Sweden,48
2018,SYR,Syrian Arab Republic,CUB,Cuba,SWE,Sweden,4
2019,SYR,Syrian Arab Republic,CUB,Cuba,SWE,Sweden,3
2006,IRN,Iran,ECU,Ecuador,SWE,Sweden,1
2005,IRQ,Iraq,ECU,Ecuador,SWE,Sweden,3
2008,IRQ,Iraq,ECU,Ecuador,SWE,Sweden,1
2013,ERI,Eritrea,SLV,El Salvador,SWE,Sweden,1
2013,SDN,Sudan,SLV,El Salvador,SWE,Sweden,15
2012,IRN,Iran,GRD,Grenada,SWE,Sweden,3
2010,AFG,Afghanistan,MEX,Mexico,SWE,Sweden,1
2008,IRQ,Iraq,PER,Peru,SWE,Sweden,2
2011,IRN,Iran,TTO,Trinidad and Tobago,SWE,Sweden,4
2013,IRN,Iran,VEN,"Venezuela, Bolivarian Republic of",SWE,Sweden,4
2014,IRN,Iran,VEN,"Venezuela, Bolivarian Republic of",SWE,Sweden,4
2015,IRN,Iran,VEN,"Venezuela, Bolivarian Republic of",SWE,Sweden,2
2004,AFG,Afghanistan,CUB,Cuba,GBR,United Kingdom,1
2006,AFG,Afghanistan,CUB,Cuba,GBR,United Kingdom,1
2018,ERI,Eritrea,CUB,Cuba,GBR,United Kingdom,1
2018,IRN,Iran,CUB,Cuba,GBR,United Kingdom,1
2015,SYR,Syrian Arab Republic,ATG,Antigua and Barbuda,USA,United States,15
2015,SYR,Syrian Arab Republic,ARG,Argentina,USA,United States,1
2012,IRN,Iran,BHS,Bahamas,USA,United States,1
2014,SYR,Syrian Arab Republic,BRB,Barbados,USA,United States,1
2013,AFG,Afghanistan,CYM,Cayman Islands,USA,United States,1
2011,IRN,Iran,CRI,Costa Rica,USA,United States,1
2012,IRN,Iran,CRI,Costa Rica,USA,United States,1
2008,IRQ,Iraq,CRI,Costa Rica,USA,United States,3
2010,IRQ,Iraq,CRI,Costa Rica,USA,United States,2
2012,SOM,Somalia,CRI,Costa Rica,USA,United States,2
2005,AFG,Afghanistan,CUB,Cuba,USA,United States,8
2006,AFG,Afghanistan,CUB,Cuba,USA,United States,1
2015,AFG,Afghanistan,CUB,Cuba,USA,United States,1
2016,AFG,Afghanistan,CUB,Cuba,USA,United States,2
2004,ERI,Eritrea,CUB,Cuba,USA,United States,1
2005,ERI,Eritrea,CUB,Cuba,USA,United States,1
2008,ERI,Eritrea,CUB,Cuba,USA,United States,1
2010,ERI,Eritrea,CUB,Cuba,USA,United States,2
2016,ERI,Eritrea,CUB,Cuba,USA,United States,1
2015,IRN,Iran,CUB,Cuba,USA,United States,2
2008,IRQ,Iraq,CUB,Cuba,USA,United States,2
2007,MMR,Myanmar,CUB,Cuba,USA,United States,1
2006,SDN,Sudan,CUB,Cuba,USA,United States,2
2011,SDN,Sudan,CUB,Cuba,USA,United States,2
2013,SYR,Syrian Arab Republic,CUB,Cuba,USA,United States,11
2014,SYR,Syrian Arab Republic,CUB,Cuba,USA,United States,2
2016,SYR,Syrian Arab Republic,CUB,Cuba,USA,United States,8
2014,SYR,Syrian Arab Republic,CUW,Curacao,USA,United States,2
2016,AFG,Afghanistan,ECU,Ecuador,USA,United States,23
2017,AFG,Afghanistan,ECU,Ecuador,USA,United States,16
2016,IRN,Iran,ECU,Ecuador,USA,United States,1
2008,IRQ,Iraq,ECU,Ecuador,USA,United States,1
2016,IRQ,Iraq,ECU,Ecuador,USA,United States,11
2016,SYR,Syrian Arab Republic,ECU,Ecuador,USA,United States,5
