Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,IRQ,Iraq,CUB,Cuba,NLD,Netherlands,1
2003,AFG,Afghanistan,CUB,Cuba,BRA,Brazil,7
2003,IRN,Iran (Islamic Rep. of),CUB,Cuba,SWE,Sweden,3
2003,IRQ,Iraq,CUB,Cuba,SWE,Sweden,1
2003,SDN,Sudan,CUB,Cuba,SWE,Sweden,1
2003,SDN,Sudan,CUB,Cuba,CAN,Canada,3
2004,IRN,Iran (Islamic Rep. of),CUB,Cuba,FIN,Finland,5
2004,ERI,Eritrea,CUB,Cuba,USA,United States of America,1
2004,AFG,Afghanistan,CUB,Cuba,GBR,United Kingdom of Great Britain and Northern Ireland,1
2004,IRN,Iran (Islamic Rep. of),CUB,Cuba,SWE,Sweden,5
2005,AFG,Afghanistan,CUB,Cuba,SWE,Sweden,7
2005,AFG,Afghanistan,CUB,Cuba,FIN,Finland,5
2005,IRQ,Iraq,ECU,Ecuador,SWE,Sweden,3
2005,AFG,Afghanistan,CUB,Cuba,USA,United States of America,8
2005,IRQ,Iraq,VEN,Venezuela (Bolivarian Republic of),AUS,Australia,2
2005,ERI,Eritrea,CUB,Cuba,USA,United States of America,1
2005,AFG,Afghanistan,CUB,Cuba,NLD,Netherlands,1
2006,AFG,Afghanistan,CUB,Cuba,FIN,Finland,1
2006,IRN,Iran (Islamic Rep. of),ECU,Ecuador,SWE,Sweden,1
2006,IRQ,Iraq,TTO,Trinidad and Tobago,NZL,New Zealand,1
2006,AFG,Afghanistan,CUB,Cuba,USA,United States of America,1
2006,IRN,Iran (Islamic Rep. of),ECU,Ecuador,NLD,Netherlands,1
2006,SDN,Sudan,CUB,Cuba,USA,United States of America,2
2006,AFG,Afghanistan,CUB,Cuba,NOR,Norway,1
2006,MMR,Myanmar,JAM,Jamaica,USA,United States of America,2
2006,AFG,Afghanistan,CUB,Cuba,DNK,Denmark,1
2006,AFG,Afghanistan,CUB,Cuba,GBR,United Kingdom of Great Britain and Northern Ireland,1
2007,ERI,Eritrea,CUB,Cuba,SWE,Sweden,1
2007,IRQ,Iraq,CUB,Cuba,NOR,Norway,1
2007,MMR,Myanmar,CUB,Cuba,USA,United States of America,1
2007,IRQ,Iraq,CUB,Cuba,DNK,Denmark,1
2007,IRQ,Iraq,PER,Peru,USA,United States of America,14
2008,ERI,Eritrea,CUB,Cuba,CAN,Canada,5
2008,ERI,Eritrea,CUB,Cuba,USA,United States of America,1
2008,IRN,Iran (Islamic Rep. of),CUB,Cuba,CAN,Canada,3
2008,IRQ,Iraq,CUB,Cuba,USA,United States of America,2
2008,AFG,Afghanistan,ECU,Ecuador,CAN,Canada,4
2008,IRQ,Iraq,ECU,Ecuador,USA,United States of America,1
2008,IRN,Iran (Islamic Rep. of),VEN,Venezuela (Bolivarian Republic of),CAN,Canada,3
2008,IRQ,Iraq,ECU,Ecuador,FIN,Finland,1
2008,IRQ,Iraq,HTI,Haiti,USA,United States of America,2
2008,IRQ,Iraq,VEN,Venezuela (Bolivarian Republic of),CAN,Canada,14
2008,MMR,Myanmar,JAM,Jamaica,USA,United States of America,3
2008,IRQ,Iraq,ECU,Ecuador,SWE,Sweden,1
2008,IRQ,Iraq,PER,Peru,AUS,Australia,1
2008,IRQ,Iraq,PER,Peru,SWE,Sweden,2
2008,SOM,Somalia,TTO,Trinidad and Tobago,USA,United States of America,1
2008,IRQ,Iraq,ECU,Ecuador,NZL,New Zealand,1
2008,IRQ,Iraq,ECU,Ecuador,NLD,Netherlands,1
2008,IRQ,Iraq,CUB,Cuba,FRA,France,1
2008,IRQ,Iraq,CUB,Cuba,NOR,Norway,1
2008,IRQ,Iraq,ECU,Ecuador,NOR,Norway,1
2008,IRQ,Iraq,CRI,Costa Rica,USA,United States of America,3
2009,ERI,Eritrea,CUB,Cuba,CAN,Canada,1
2009,IRN,Iran (Islamic Rep. of),CUB,Cuba,CAN,Canada,1
2009,SOM,Somalia,CUB,Cuba,CAN,Canada,1
2010,AFG,Afghanistan,MEX,Mexico,NOR,Norway,1
2010,AFG,Afghanistan,MEX,Mexico,SWE,Sweden,1
2010,IRQ,Iraq,CRI,Costa Rica,USA,United States of America,2
2010,AFG,Afghanistan,MEX,Mexico,BRA,Brazil,1
2010,ERI,Eritrea,CUB,Cuba,USA,United States of America,2
2010,AFG,Afghanistan,MEX,Mexico,NLD,Netherlands,1
2010,ERI,Eritrea,CUB,Cuba,CAN,Canada,1
2010,AFG,Afghanistan,MEX,Mexico,DNK,Denmark,1
2011,IRN,Iran (Islamic Rep. of),VEN,Venezuela (Bolivarian Republic of),NLD,Netherlands,4
2011,AFG,Afghanistan,CYM,Cayman Islands,SWE,Sweden,1
2011,IRN,Iran (Islamic Rep. of),CUB,Cuba,SWE,Sweden,1
2011,IRN,Iran (Islamic Rep. of),CRI,Costa Rica,USA,United States of America,1
2011,SDN,Sudan,DOM,Dominican Rep.,NLD,Netherlands,4
2011,IRN,Iran (Islamic Rep. of),GRD,Grenada,NLD,Netherlands,3
