Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,IRQ,Iraq,THA,Thailand,DNK,Denmark,2
2003,AFG,Afghanistan,KGZ,Kyrgyzstan,USA,United States of America,68
2003,SOM,Somalia,IND,India,CAN,Canada,2
2003,AFG,Afghanistan,UZB,Uzbekistan,AUS,Australia,34
2003,AFG,Afghanistan,PAK,Pakistan,NZL,New Zealand,9
2003,AFG,Afghanistan,IDN,Indonesia,SWE,Sweden,1
2003,AFG,Afghanistan,KGZ,Kyrgyzstan,CAN,Canada,32
2003,AFG,Afghanistan,THA,Thailand,NOR,Norway,1
2003,AFG,Afghanistan,THA,Thailand,NLD,Netherlands,1
2003,IRQ,Iraq,THA,Thailand,CAN,Canada,4
2003,IRQ,Iraq,IDN,Indonesia,AUS,Australia,34
2003,AFG,Afghanistan,MYS,Malaysia,DNK,Denmark,12
2003,IRQ,Iraq,LKA,Sri Lanka,DEU,Germany,5
2003,COD,Dem. Rep. of the Congo,HKG,"China, Hong Kong SAR",USA,United States of America,1
2003,AFG,Afghanistan,THA,Thailand,SWE,Sweden,2
2003,MMR,Myanmar,THA,Thailand,DNK,Denmark,2
2003,MMR,Myanmar,MYS,Malaysia,USA,United States of America,64
2003,SDN,Sudan,IND,India,CAN,Canada,5
2003,IRQ,Iraq,IDN,Indonesia,SWE,Sweden,10
2003,IRQ,Iraq,LKA,Sri Lanka,CAN,Canada,1
2003,COD,Dem. Rep. of the Congo,THA,Thailand,NOR,Norway,1
2003,IRQ,Iraq,IDN,Indonesia,GBR,United Kingdom of Great Britain and Northern Ireland,4
2003,COD,Dem. Rep. of the Congo,THA,Thailand,NLD,Netherlands,1
2003,COD,Dem. Rep. of the Congo,THA,Thailand,SWE,Sweden,1
2003,MMR,Myanmar,THA,Thailand,CAN,Canada,26
2003,SOM,Somalia,IDN,Indonesia,AUS,Australia,1
2003,IRN,Iran (Islamic Rep. of),MYS,Malaysia,DNK,Denmark,2
2003,ERI,Eritrea,HKG,"China, Hong Kong SAR",USA,United States of America,3
2003,ERI,Eritrea,MYS,Malaysia,AUT,Austria,2
2003,SOM,Somalia,THA,Thailand,DNK,Denmark,1
2003,AFG,Afghanistan,IDN,Indonesia,NZL,New Zealand,3
2003,AFG,Afghanistan,PAK,Pakistan,USA,United States of America,222
2003,AFG,Afghanistan,IDN,Indonesia,CAN,Canada,17
2003,IRN,Iran (Islamic Rep. of),CHN,China,NOR,Norway,4
2003,SYR,Syrian Arab Rep.,IDN,Indonesia,SWE,Sweden,1
2003,AFG,Afghanistan,MYS,Malaysia,CAN,Canada,4
2003,IRN,Iran (Islamic Rep. of),THA,Thailand,NOR,Norway,1
2003,IRQ,Iraq,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,2
2003,IRN,Iran (Islamic Rep. of),THA,Thailand,NLD,Netherlands,1
2003,IRN,Iran (Islamic Rep. of),THA,Thailand,SWE,Sweden,2
2003,AFG,Afghanistan,TJK,Tajikistan,CAN,Canada,128
2003,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),AUS,Australia,258
2003,IRQ,Iraq,MYS,Malaysia,DNK,Denmark,1
2003,MMR,Myanmar,HKG,"China, Hong Kong SAR",USA,United States of America,1
2003,SDN,Sudan,THA,Thailand,DNK,Denmark,2
2003,IRN,Iran (Islamic Rep. of),IDN,Indonesia,NZL,New Zealand,1
2003,IRN,Iran (Islamic Rep. of),PAK,Pakistan,USA,United States of America,47
2003,COD,Dem. Rep. of the Congo,IDN,Indonesia,CAN,Canada,3
2003,AFG,Afghanistan,IND,India,NOR,Norway,34
2003,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),SWE,Sweden,1
