Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,COD,Dem. Rep. of the Congo,KEN,Kenya,USA,United States of America,17
2003,SOM,Somalia,TZA,United Rep. of Tanzania,CAN,Canada,7
2003,SDN,Sudan,UGA,Uganda,AUS,Australia,76
2003,COD,Dem. Rep. of the Congo,UGA,Uganda,NOR,Norway,7
2003,SOM,Somalia,KEN,Kenya,NZL,New Zealand,12
2003,ERI,Eritrea,KEN,Kenya,USA,United States of America,8
2003,SDN,Sudan,TZA,United Rep. of Tanzania,CAN,Canada,5
2003,SDN,Sudan,KEN,Kenya,NZL,New Zealand,64
2003,SOM,Somalia,KEN,Kenya,USA,United States of America,1437
2003,COD,Dem. Rep. of the Congo,UGA,Uganda,CAN,Canada,130
2003,COD,Dem. Rep. of the Congo,COG,Congo,NLD,Netherlands,1
2003,ERI,Eritrea,SDN,Sudan,DNK,Denmark,18
2003,ERI,Eritrea,SDN,Sudan,NZL,New Zealand,28
2003,SDN,Sudan,KEN,Kenya,USA,United States of America,93
2003,ERI,Eritrea,SDN,Sudan,NLD,Netherlands,30
2003,SOM,Somalia,UGA,Uganda,CAN,Canada,13
2003,COD,Dem. Rep. of the Congo,KEN,Kenya,AUS,Australia,6
2003,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,USA,United States of America,224
2003,SDN,Sudan,UGA,Uganda,CAN,Canada,48
2003,SOM,Somalia,KEN,Kenya,AUS,Australia,238
2003,COD,Dem. Rep. of the Congo,UGA,Uganda,USA,United States of America,23
2003,COD,Dem. Rep. of the Congo,KEN,Kenya,CAN,Canada,2
2003,ERI,Eritrea,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,1
2003,ERI,Eritrea,KEN,Kenya,CAN,Canada,7
2003,SDN,Sudan,KEN,Kenya,AUS,Australia,293
2003,SOM,Somalia,UGA,Uganda,USA,United States of America,54
2003,COD,Dem. Rep. of the Congo,COG,Congo,SWE,Sweden,7
2003,SOM,Somalia,KEN,Kenya,CAN,Canada,523
2003,ERI,Eritrea,SDN,Sudan,AUS,Australia,24
2003,SDN,Sudan,UGA,Uganda,USA,United States of America,11
2003,COD,Dem. Rep. of the Congo,KEN,Kenya,SWE,Sweden,5
2003,SDN,Sudan,KEN,Kenya,CAN,Canada,557
2003,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,AUS,Australia,12
2003,ERI,Eritrea,KEN,Kenya,SWE,Sweden,1
2003,COD,Dem. Rep. of the Congo,COG,Congo,USA,United States of America,5
2003,ERI,Eritrea,SDN,Sudan,CAN,Canada,18
2003,COD,Dem. Rep. of the Congo,UGA,Uganda,AUS,Australia,31
2003,COD,Dem. Rep. of the Congo,COG,Congo,FIN,Finland,13
2003,ERI,Eritrea,SDN,Sudan,SWE,Sweden,55
2003,SDN,Sudan,COD,Dem. Rep. of the Congo,USA,United States of America,3
2003,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,CAN,Canada,95
2003,SOM,Somalia,UGA,Uganda,AUS,Australia,17
2003,ERI,Eritrea,SDN,Sudan,FIN,Finland,56
2003,ERI,Eritrea,SDN,Sudan,NOR,Norway,81
2003,COD,Dem. Rep. of the Congo,KEN,Kenya,NZL,New Zealand,3
2004,SDN,Sudan,KEN,Kenya,USA,United States of America,232
2004,COD,Dem. Rep. of the Congo,COG,Congo,SWE,Sweden,7
2004,SOM,Somalia,ETH,Ethiopia,USA,United States of America,33
2004,SDN,Sudan,ERI,Eritrea,FIN,Finland,2
2004,SOM,Somalia,KEN,Kenya,CAN,Canada,400
2004,SDN,Sudan,UGA,Uganda,AUS,Australia,33
2004,ERI,Eritrea,SDN,Sudan,USA,United States of America,1
2004,SDN,Sudan,ERI,Eritrea,SWE,Sweden,2
2004,ERI,Eritrea,ETH,Ethiopia,AUS,Australia,6
2004,COD,Dem. Rep. of the Congo,BDI,Burundi,NOR,Norway,13
2004,SDN,Sudan,KEN,Kenya,CAN,Canada,80
2004,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,USA,United States of America,66
2004,SOM,Somalia,ETH,Ethiopia,SWE,Sweden,38
2004,SOM,Somalia,ETH,Ethiopia,AUS,Australia,10
2004,COD,Dem. Rep. of the Congo,COG,Congo,NOR,Norway,11
2004,ERI,Eritrea,SDN,Sudan,CAN,Canada,21
2004,COD,Dem. Rep. of the Congo,UGA,Uganda,USA,United States of America,8
2004,SDN,Sudan,ETH,Ethiopia,SWE,Sweden,3
2004,SDN,Sudan,ETH,Ethiopia,AUS,Australia,8
2004,ERI,Eritrea,ETH,Ethiopia,NOR,Norway,3
