Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,IRQ,Iraq,AZE,Azerbaijan,CAN,Canada,5
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUT,Austria,1
2003,AFG,Afghanistan,AZE,Azerbaijan,USA,United States of America,34
2003,ERI,Eritrea,TUR,Turkey,CAN,Canada,2
2003,SDN,Sudan,TUR,Turkey,SWE,Sweden,1
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,NOR,Norway,165
2003,SOM,Somalia,TUR,Turkey,USA,United States of America,2
2003,SOM,Somalia,AZE,Azerbaijan,CAN,Canada,3
2003,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,USA,United States of America,2
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,CAN,Canada,426
2003,IRN,Iran (Islamic Rep. of),BIH,Bosnia and Herzegovina,AUS,Australia,1
2003,AFG,Afghanistan,UKR,Ukraine,SWE,Sweden,30
2003,AFG,Afghanistan,BLR,Belarus,DNK,Denmark,2
2003,IRQ,Iraq,TUR,Turkey,NOR,Norway,15
2003,SDN,Sudan,TUR,Turkey,USA,United States of America,6
2003,SDN,Sudan,AZE,Azerbaijan,CAN,Canada,1
2003,IRN,Iran (Islamic Rep. of),BIH,Bosnia and Herzegovina,USA,United States of America,1
2003,IRQ,Iraq,TUR,Turkey,CAN,Canada,100
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,AUS,Australia,346
2003,SYR,Syrian Arab Rep.,UKR,Ukraine,SWE,Sweden,1
2003,AFG,Afghanistan,RUS,Russian Federation,DNK,Denmark,30
2003,AFG,Afghanistan,UKR,Ukraine,NOR,Norway,16
2003,AFG,Afghanistan,RUS,Russian Federation,GBR,United Kingdom of Great Britain and Northern Ireland,1
2003,AFG,Afghanistan,BLR,Belarus,NLD,Netherlands,2
2003,AFG,Afghanistan,UKR,Ukraine,USA,United States of America,14
2003,IRQ,Iraq,ROU,Romania,CHE,Switzerland,1
2003,IRN,Iran (Islamic Rep. of),BIH,Bosnia and Herzegovina,CAN,Canada,1
2003,COD,Dem. Rep. of the Congo,UKR,Ukraine,NOR,Norway,1
2003,IRQ,Iraq,TUR,Turkey,DEU,Germany,65
2003,AFG,Afghanistan,RUS,Russian Federation,USA,United States of America,325
2003,SOM,Somalia,TUR,Turkey,CAN,Canada,15
2003,IRQ,Iraq,TUR,Turkey,AUS,Australia,31
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,DNK,Denmark,6
2003,COD,Dem. Rep. of the Congo,UKR,Ukraine,USA,United States of America,1
2003,AFG,Afghanistan,TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,10
2003,AFG,Afghanistan,HRV,Croatia,NLD,Netherlands,1
2003,SOM,Somalia,RUS,Russian Federation,BRA,Brazil,3
2003,IRQ,Iraq,AZE,Azerbaijan,SWE,Sweden,4
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,CHE,Switzerland,1
2003,AFG,Afghanistan,RUS,Russian Federation,CAN,Canada,118
2003,COD,Dem. Rep. of the Congo,RUS,Russian Federation,USA,United States of America,3
2003,AFG,Afghanistan,UKR,Ukraine,CAN,Canada,7
2003,MMR,Myanmar,TUR,Turkey,AUS,Australia,1
2003,IRQ,Iraq,TUR,Turkey,DNK,Denmark,3
2003,IRN,Iran (Islamic Rep. of),UKR,Ukraine,USA,United States of America,4
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,13
2003,AFG,Afghanistan,RUS,Russian Federation,FIN,Finland,15
2003,AFG,Afghanistan,RUS,Russian Federation,NLD,Netherlands,37
2003,COD,Dem. Rep. of the Congo,UKR,Ukraine,BRA,Brazil,2
2003,SDN,Sudan,HRV,Croatia,SWE,Sweden,1
2003,IRQ,Iraq,TUR,Turkey,CHE,Switzerland,3
2003,COD,Dem. Rep. of the Congo,RUS,Russian Federation,CAN,Canada,24
2003,IRQ,Iraq,RUS,Russian Federation,USA,United States of America,5
2003,COD,Dem. Rep. of the Congo,UKR,Ukraine,CAN,Canada,3
2003,SYR,Syrian Arab Rep.,TUR,Turkey,AUS,Australia,5
2003,IRQ,Iraq,TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,6
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,FIN,Finland,168
2003,COD,Dem. Rep. of the Congo,RUS,Russian Federation,NLD,Netherlands,2
2003,AFG,Afghanistan,RUS,Russian Federation,SWE,Sweden,23
2003,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,NOR,Norway,4
2003,IRN,Iran (Islamic Rep. of),RUS,Russian Federation,CAN,Canada,4
2003,SOM,Somalia,RUS,Russian Federation,USA,United States of America,18
2003,IRN,Iran (Islamic Rep. of),UKR,Ukraine,CAN,Canada,1
2003,AFG,Afghanistan,UKR,Ukraine,GBR,United Kingdom of Great Britain and Northern Ireland,1
2003,IRQ,Iraq,TUR,Turkey,FIN,Finland,31
2003,AFG,Afghanistan,TUR,Turkey,NLD,Netherlands,2
2003,COD,Dem. Rep. of the Congo,RUS,Russian Federation,SWE,Sweden,1
2003,AFG,Afghanistan,BLR,Belarus,NOR,Norway,2
2003,IRQ,Iraq,RUS,Russian Federation,CAN,Canada,30
2003,SDN,Sudan,RUS,Russian Federation,USA,United States of America,5
2003,SOM,Somalia,UKR,Ukraine,CAN,Canada,8
2003,IRN,Iran (Islamic Rep. of),UKR,Ukraine,GBR,United Kingdom of Great Britain and Northern Ireland,1
2003,SOM,Somalia,TUR,Turkey,FIN,Finland,1
2003,IRQ,Iraq,TUR,Turkey,NLD,Netherlands,1
2003,AFG,Afghanistan,TUR,Turkey,SWE,Sweden,2
2003,AFG,Afghanistan,RUS,Russian Federation,NOR,Norway,17
2003,SOM,Somalia,RUS,Russian Federation,CAN,Canada,6
2003,AFG,Afghanistan,TUR,Turkey,USA,United States of America,29
2003,AFG,Afghanistan,AZE,Azerbaijan,CAN,Canada,92
2003,AFG,Afghanistan,UKR,Ukraine,NLD,Netherlands,19
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,SWE,Sweden,135
2003,AFG,Afghanistan,TUR,Turkey,NOR,Norway,19
2003,IRQ,Iraq,AZE,Azerbaijan,NZL,New Zealand,17
2003,SDN,Sudan,RUS,Russian Federation,CAN,Canada,13
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,USA,United States of America,723
2003,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,CAN,Canada,17
2003,AFG,Afghanistan,TUR,Turkey,AUT,Austria,3
2003,IRN,Iran (Islamic Rep. of),UKR,Ukraine,NLD,Netherlands,2
2003,IRN,Iran (Islamic Rep. of),TUR,Turkey,NZL,New Zealand,7
2003,AFG,Afghanistan,TUR,Turkey,CAN,Canada,33
2003,IRQ,Iraq,TUR,Turkey,SWE,Sweden,83
2003,ERI,Eritrea,TUR,Turkey,NOR,Norway,2
2003,IRQ,Iraq,TUR,Turkey,USA,United States of America,7
2004,AFG,Afghanistan,AZE,Azerbaijan,NLD,Netherlands,4
2004,SYR,Syrian Arab Rep.,TUR,Turkey,SWE,Sweden,5
2004,SOM,Somalia,RUS,Russian Federation,USA,United States of America,11
2004,COD,Dem. Rep. of the Congo,UKR,Ukraine,CAN,Canada,1
2004,SOM,Somalia,RUS,Russian Federation,GBR,United Kingdom of Great Britain and Northern Ireland,1
2004,AFG,Afghanistan,TUR,Turkey,FIN,Finland,20
2004,IRQ,Iraq,AZE,Azerbaijan,NZL,New Zealand,5
2004,SYR,Syrian Arab Rep.,UKR,Ukraine,NLD,Netherlands,1
2004,IRN,Iran (Islamic Rep. of),UKR,Ukraine,DNK,Denmark,2
2004,COD,Dem. Rep. of the Congo,RUS,Russian Federation,CAN,Canada,2
2004,ERI,Eritrea,TUR,Turkey,FIN,Finland,2
2004,AFG,Afghanistan,BLR,Belarus,NLD,Netherlands,8
2004,AFG,Afghanistan,UKR,Ukraine,SWE,Sweden,8
2004,AFG,Afghanistan,TUR,Turkey,USA,United States of America,13
2004,IRN,Iran (Islamic Rep. of),UKR,Ukraine,CAN,Canada,2
2004,IRN,Iran (Islamic Rep. of),TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,4
2004,IRQ,Iraq,RUS,Russian Federation,CAN,Canada,36
2004,IRN,Iran (Islamic Rep. of),TUR,Turkey,FIN,Finland,134
2004,AFG,Afghanistan,HRV,Croatia,NLD,Netherlands,1
2004,IRQ,Iraq,UKR,Ukraine,SWE,Sweden,5
2004,IRN,Iran (Islamic Rep. of),TUR,Turkey,USA,United States of America,785
2004,IRQ,Iraq,UKR,Ukraine,CAN,Canada,4
2004,SOM,Somalia,RUS,Russian Federation,CAN,Canada,1
2004,IRQ,Iraq,TUR,Turkey,FIN,Finland,12
2004,AFG,Afghanistan,RUS,Russian Federation,NLD,Netherlands,8
2004,SOM,Somalia,UKR,Ukraine,SWE,Sweden,1
2004,IRQ,Iraq,TUR,Turkey,USA,United States of America,2
2004,SYR,Syrian Arab Rep.,UKR,Ukraine,CAN,Canada,8
2004,IRQ,Iraq,AZE,Azerbaijan,SWE,Sweden,2
