Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,AFG,Afghanistan,LBN,Lebanon,FIN,Finland,1
2003,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,4
2003,COD,Dem. Rep. of the Congo,EGY,Egypt,CAN,Canada,1
2003,ERI,Eritrea,EGY,Egypt,USA,United States of America,14
2003,ERI,Eritrea,LBN,Lebanon,CAN,Canada,2
2003,IRN,Iran (Islamic Rep. of),JOR,Jordan,SWE,Sweden,10
2003,IRN,Iran (Islamic Rep. of),LBN,Lebanon,CAN,Canada,1
2003,IRN,Iran (Islamic Rep. of),LBN,Lebanon,FIN,Finland,1
2003,IRQ,Iraq,EGY,Egypt,CAN,Canada,1
2003,IRQ,Iraq,JOR,Jordan,AUS,Australia,72
2003,IRQ,Iraq,JOR,Jordan,BRA,Brazil,6
2003,IRQ,Iraq,JOR,Jordan,CAN,Canada,106
2003,IRQ,Iraq,JOR,Jordan,DEU,Germany,3
2003,IRQ,Iraq,JOR,Jordan,DNK,Denmark,10
2003,IRQ,Iraq,JOR,Jordan,GBR,United Kingdom of Great Britain and Northern Ireland,18
2003,IRQ,Iraq,JOR,Jordan,IRL,Ireland,1
2003,IRQ,Iraq,JOR,Jordan,ITA,Italy,21
2003,IRQ,Iraq,JOR,Jordan,NOR,Norway,3
2003,IRQ,Iraq,JOR,Jordan,NZL,New Zealand,32
2003,IRQ,Iraq,JOR,Jordan,SWE,Sweden,23
2003,IRQ,Iraq,JOR,Jordan,USA,United States of America,36
2003,IRQ,Iraq,KWT,Kuwait,FRA,France,1
2003,IRQ,Iraq,LBN,Lebanon,AUS,Australia,18
2003,IRQ,Iraq,LBN,Lebanon,FIN,Finland,5
2003,IRQ,Iraq,LBN,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,16
2003,IRQ,Iraq,LBN,Lebanon,NLD,Netherlands,1
2003,IRQ,Iraq,LBN,Lebanon,SWE,Sweden,1
2003,IRQ,Iraq,SAU,Saudi Arabia,NLD,Netherlands,2
2003,IRQ,Iraq,SAU,Saudi Arabia,NOR,Norway,2
2003,IRQ,Iraq,SAU,Saudi Arabia,SWE,Sweden,1
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,CAN,Canada,29
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,CHE,Switzerland,1
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,DNK,Denmark,1
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,FIN,Finland,6
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,15
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,IRL,Ireland,6
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,NLD,Netherlands,7
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,NOR,Norway,7
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,9
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,USA,United States of America,6
2003,IRQ,Iraq,YEM,Yemen,NLD,Netherlands,3
2003,SDN,Sudan,EGY,Egypt,AUS,Australia,627
2003,SDN,Sudan,EGY,Egypt,CAN,Canada,566
2003,SDN,Sudan,EGY,Egypt,FIN,Finland,232
2003,SDN,Sudan,EGY,Egypt,NLD,Netherlands,2
2003,SDN,Sudan,EGY,Egypt,USA,United States of America,1830
2003,SDN,Sudan,JOR,Jordan,USA,United States of America,37
2003,SDN,Sudan,LBN,Lebanon,AUS,Australia,14
