Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,SOM,Somalia,ZAF,South Africa,AUT,Austria,1
2003,COD,Dem. Rep. of the Congo,AGO,Angola,NLD,Netherlands,2
2003,COD,Dem. Rep. of the Congo,AGO,Angola,USA,United States of America,2
2003,SDN,Sudan,ZMB,Zambia,USA,United States of America,1
2003,SDN,Sudan,ZAF,South Africa,NLD,Netherlands,4
2003,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,8
2003,COD,Dem. Rep. of the Congo,AGO,Angola,CAN,Canada,12
2003,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,72
2003,COD,Dem. Rep. of the Congo,MOZ,Mozambique,CAN,Canada,5
2003,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,15
2003,COD,Dem. Rep. of the Congo,AGO,Angola,SWE,Sweden,4
2003,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,9
2003,COD,Dem. Rep. of the Congo,ZMB,Zambia,AUS,Australia,47
2003,COD,Dem. Rep. of the Congo,NAM,Namibia,SWE,Sweden,6
2003,SDN,Sudan,ZAF,South Africa,CAN,Canada,1
2003,COD,Dem. Rep. of the Congo,ZAF,South Africa,SWE,Sweden,4
2003,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,75
2003,SDN,Sudan,ZAF,South Africa,SWE,Sweden,4
2003,SDN,Sudan,ZMB,Zambia,CAN,Canada,3
2003,COD,Dem. Rep. of the Congo,ZAF,South Africa,AUT,Austria,2
2004,SOM,Somalia,ZMB,Zambia,AUS,Australia,4
2004,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,4
2004,COD,Dem. Rep. of the Congo,ZAF,South Africa,SWE,Sweden,5
2004,SDN,Sudan,ZMB,Zambia,AUS,Australia,8
2004,COD,Dem. Rep. of the Congo,ZAF,South Africa,CAN,Canada,44
2004,COD,Dem. Rep. of the Congo,ZMB,Zambia,NOR,Norway,43
2004,COD,Dem. Rep. of the Congo,AGO,Angola,USA,United States of America,13
2004,SOM,Somalia,ZAF,South Africa,CAN,Canada,4
2004,COD,Dem. Rep. of the Congo,NAM,Namibia,USA,United States of America,6
2004,SDN,Sudan,ZAF,South Africa,CAN,Canada,8
2004,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,6
2004,COD,Dem. Rep. of the Congo,ZMB,Zambia,CAN,Canada,20
2004,SDN,Sudan,ZAF,South Africa,DNK,Denmark,4
2004,SOM,Somalia,ZAF,South Africa,USA,United States of America,8
2004,COD,Dem. Rep. of the Congo,ZMB,Zambia,DNK,Denmark,152
2004,SDN,Sudan,ZAF,South Africa,USA,United States of America,1
2004,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,34
2004,COD,Dem. Rep. of the Congo,ZAF,South Africa,AUS,Australia,34
2004,SDN,Sudan,ZMB,Zambia,USA,United States of America,7
2004,SOM,Somalia,ZAF,South Africa,AUS,Australia,3
2004,SOM,Somalia,ZMB,Zambia,CHE,Switzerland,7
2004,COD,Dem. Rep. of the Congo,ZMB,Zambia,AUS,Australia,86
2004,COD,Dem. Rep. of the Congo,AGO,Angola,CAN,Canada,1
2004,COD,Dem. Rep. of the Congo,NAM,Namibia,SWE,Sweden,5
2005,SDN,Sudan,MOZ,Mozambique,USA,United States of America,10
2005,COD,Dem. Rep. of the Congo,NAM,Namibia,SWE,Sweden,6
2005,COD,Dem. Rep. of the Congo,NAM,Namibia,USA,United States of America,82
2005,COD,Dem. Rep. of the Congo,MOZ,Mozambique,AUS,Australia,7
2005,COD,Dem. Rep. of the Congo,ZMB,Zambia,GBR,United Kingdom of Great Britain and Northern Ireland,132
2005,COD,Dem. Rep. of the Congo,ZMB,Zambia,NLD,Netherlands,8
2005,COD,Dem. Rep. of the Congo,ZAF,South Africa,USA,United States of America,4
2005,COD,Dem. Rep. of the Congo,MWI,Malawi,NOR,Norway,104
2005,COD,Dem. Rep. of the Congo,ZAF,South Africa,AUS,Australia,5
2005,SDN,Sudan,ZAF,South Africa,USA,United States of America,1
2005,COD,Dem. Rep. of the Congo,ZMB,Zambia,NOR,Norway,108
2005,COD,Dem. Rep. of the Congo,ZMB,Zambia,USA,United States of America,53
2005,COD,Dem. Rep. of the Congo,AGO,Angola,CAN,Canada,12
2005,SOM,Somalia,ZMB,Zambia,USA,United States of America,7
2005,SOM,Somalia,BWA,Botswana,CAN,Canada,2
2005,COD,Dem. Rep. of the Congo,MOZ,Mozambique,CAN,Canada,82
2005,COD,Dem. Rep. of the Congo,NAM,Namibia,CAN,Canada,30
2005,SOM,Somalia,BWA,Botswana,USA,United States of America,17
