Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,USA,United States of America,70
2003,COD,Dem. Rep. of the Congo,GAB,Gabon,SWE,Sweden,1
2003,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,1
2003,SDN,Sudan,GIN,Guinea,NOR,Norway,1
2003,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,1
2003,SDN,Sudan,NGA,Nigeria,CAN,Canada,4
2003,COD,Dem. Rep. of the Congo,GHA,Ghana,AUS,Australia,1
2003,SDN,Sudan,GHA,Ghana,AUS,Australia,8
2004,COD,Dem. Rep. of the Congo,GHA,Ghana,USA,United States of America,4
2004,SDN,Sudan,GHA,Ghana,USA,United States of America,1
2004,COD,Dem. Rep. of the Congo,GHA,Ghana,GBR,United Kingdom of Great Britain and Northern Ireland,1
2004,COD,Dem. Rep. of the Congo,GAB,Gabon,CAN,Canada,4
2004,SDN,Sudan,GHA,Ghana,GBR,United Kingdom of Great Britain and Northern Ireland,1
2004,COD,Dem. Rep. of the Congo,GHA,Ghana,CAN,Canada,1
2004,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,1
2005,COD,Dem. Rep. of the Congo,NER,Niger,USA,United States of America,1
2005,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,10
2005,COD,Dem. Rep. of the Congo,NGA,Nigeria,USA,United States of America,5
2005,ERI,Eritrea,BFA,Burkina Faso,CAN,Canada,6
2005,SDN,Sudan,NGA,Nigeria,USA,United States of America,1
2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,CAN,Canada,32
2005,SDN,Sudan,CMR,Cameroon,CAN,Canada,2
2005,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,2
2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,NLD,Netherlands,5
2005,ERI,Eritrea,BFA,Burkina Faso,USA,United States of America,6
2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,19
2005,SDN,Sudan,GHA,Ghana,USA,United States of America,7
2005,COD,Dem. Rep. of the Congo,NER,Niger,FIN,Finland,1
2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,FIN,Finland,3
2006,COD,Dem. Rep. of the Congo,BEN,Benin,AUS,Australia,18
2006,IRN,Iran (Islamic Rep. of),TCD,Chad,NLD,Netherlands,3
2006,SDN,Sudan,GHA,Ghana,AUS,Australia,25
2006,COD,Dem. Rep. of the Congo,BEN,Benin,USA,United States of America,5
2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,10
2006,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,6
2006,COD,Dem. Rep. of the Congo,BEN,Benin,NOR,Norway,7
2006,SDN,Sudan,CMR,Cameroon,USA,United States of America,1
2006,COD,Dem. Rep. of the Congo,GHA,Ghana,CAN,Canada,4
2006,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,4
2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,NOR,Norway,1
2006,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,USA,United States of America,22
2006,SDN,Sudan,GHA,Ghana,CAN,Canada,14
2006,COD,Dem. Rep. of the Congo,NER,Niger,USA,United States of America,1
2006,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,CAN,Canada,21
2006,COD,Dem. Rep. of the Congo,SEN,Senegal,USA,United States of America,4
2006,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,2
2006,SDN,Sudan,SEN,Senegal,USA,United States of America,1
2007,SOM,Somalia,BEN,Benin,USA,United States of America,3
2007,SDN,Sudan,GHA,Ghana,CAN,Canada,13
