Year,Country of Origin (ISO),Country of Origin,Latitude - Country of Origin,Longitude - Country of Origin,Country of Asylum (ISO),Country of Asylum,Latitude - Country of Asylum,Longitude - Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Latitude - Country of Resettlement,Longitude - Country of Resettlement,Total departures (persons)
2005,IRQ,Iraq,33,44,VEN,"Venezuela, Bolivarian Republic of",8,-66,AUS,Australia,-27,133,2
2014,SYR,Syrian Arab Republic,35,38,CUB,Cuba,21.5,-80,BRA,Brazil,-10,-55,1
2015,SYR,Syrian Arab Republic,35,38,CUB,Cuba,21.5,-80,BRA,Brazil,-10,-55,1
2014,AFG,Afghanistan,33,65,ECU,Ecuador,-2,-77.5,BRA,Brazil,-10,-55,1
2018,IRN,Iran,32,53,BHS,Bahamas,24.25,-76,CAN,Canada,60,-95,1
2006,IRN,Iran,32,53,COL,Colombia,4,-72,CAN,Canada,60,-95,2
2011,IRN,Iran,32,53,CRI,Costa Rica,10,-84,CAN,Canada,60,-95,1
2016,AFG,Afghanistan,33,65,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,4
2018,AFG,Afghanistan,33,65,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,3
2009,ERI,Eritrea,15,39,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,6
2011,ERI,Eritrea,15,39,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,1
2017,ERI,Eritrea,15,39,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,1
2008,IRN,Iran,32,53,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,3
2011,IRN,Iran,32,53,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,1
2014,IRN,Iran,32,53,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,1
2015,IRN,Iran,32,53,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,1
2017,IRN,Iran,32,53,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,1
2018,IRN,Iran,32,53,CUB,Cuba,21.5,-80,CAN,Canada,60,-95,1
