,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,USA,United States of America,17,"[25.0, 0.0]","[38.0, 1.0]","[-97.0, 38.0]"
1,2003,SOM,Somalia,TZA,United Rep. of Tanzania,CAN,Canada,7,"[49.0, 10.0]","[35.0, -6.0]","[-95.0, 60.0]"
2,2003,SDN,Sudan,UGA,Uganda,AUS,Australia,76,"[30.0, 15.0]","[32.0, 1.0]","[133.0, -27.0]"
3,2003,COD,Dem. Rep. of the Congo,UGA,Uganda,NOR,Norway,7,"[25.0, 0.0]","[32.0, 1.0]","[10.0, 62.0]"
4,2003,SOM,Somalia,KEN,Kenya,NZL,New Zealand,12,"[49.0, 10.0]","[38.0, 1.0]","[174.0, -41.0]"
5,2003,ERI,Eritrea,KEN,Kenya,USA,United States of America,8,"[39.0, 15.0]","[38.0, 1.0]","[-97.0, 38.0]"
6,2003,SDN,Sudan,TZA,United Rep. of Tanzania,CAN,Canada,5,"[30.0, 15.0]","[35.0, -6.0]","[-95.0, 60.0]"
7,2003,SDN,Sudan,KEN,Kenya,NZL,New Zealand,64,"[30.0, 15.0]","[38.0, 1.0]","[174.0, -41.0]"
8,2003,SOM,Somalia,KEN,Kenya,USA,United States of America,1437,"[49.0, 10.0]","[38.0, 1.0]","[-97.0, 38.0]"
9,2003,COD,Dem. Rep. of the Congo,UGA,Uganda,CAN,Canada,130,"[25.0, 0.0]","[32.0, 1.0]","[-95.0, 60.0]"
10,2003,COD,Dem. Rep. of the Congo,COG,Congo,NLD,Netherlands,1,"[25.0, 0.0]","[15.0, -1.0]","[5.75, 52.5]"
11,2003,ERI,Eritrea,SDN,Sudan,DNK,Denmark,18,"[39.0, 15.0]","[30.0, 15.0]","[10.0, 56.0]"
12,2003,ERI,Eritrea,SDN,Sudan,NZL,New Zealand,28,"[39.0, 15.0]","[30.0, 15.0]","[174.0, -41.0]"
13,2003,SDN,Sudan,KEN,Kenya,USA,United States of America,93,"[30.0, 15.0]","[38.0, 1.0]","[-97.0, 38.0]"
14,2003,ERI,Eritrea,SDN,Sudan,NLD,Netherlands,30,"[39.0, 15.0]","[30.0, 15.0]","[5.75, 52.5]"
15,2003,SOM,Somalia,UGA,Uganda,CAN,Canada,13,"[49.0, 10.0]","[32.0, 1.0]","[-95.0, 60.0]"
16,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,AUS,Australia,6,"[25.0, 0.0]","[38.0, 1.0]","[133.0, -27.0]"
17,2003,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,USA,United States of America,224,"[25.0, 0.0]","[35.0, -6.0]","[-97.0, 38.0]"
18,2003,SDN,Sudan,UGA,Uganda,CAN,Canada,48,"[30.0, 15.0]","[32.0, 1.0]","[-95.0, 60.0]"
19,2003,SOM,Somalia,KEN,Kenya,AUS,Australia,238,"[49.0, 10.0]","[38.0, 1.0]","[133.0, -27.0]"
20,2003,COD,Dem. Rep. of the Congo,UGA,Uganda,USA,United States of America,23,"[25.0, 0.0]","[32.0, 1.0]","[-97.0, 38.0]"
21,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,CAN,Canada,2,"[25.0, 0.0]","[38.0, 1.0]","[-95.0, 60.0]"
22,2003,ERI,Eritrea,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[39.0, 15.0]","[30.0, 15.0]","[-2.0, 54.0]"
23,2003,ERI,Eritrea,KEN,Kenya,CAN,Canada,7,"[39.0, 15.0]","[38.0, 1.0]","[-95.0, 60.0]"
24,2003,SDN,Sudan,KEN,Kenya,AUS,Australia,293,"[30.0, 15.0]","[38.0, 1.0]","[133.0, -27.0]"
25,2003,SOM,Somalia,UGA,Uganda,USA,United States of America,54,"[49.0, 10.0]","[32.0, 1.0]","[-97.0, 38.0]"
26,2003,COD,Dem. Rep. of the Congo,COG,Congo,SWE,Sweden,7,"[25.0, 0.0]","[15.0, -1.0]","[15.0, 62.0]"
27,2003,SOM,Somalia,KEN,Kenya,CAN,Canada,523,"[49.0, 10.0]","[38.0, 1.0]","[-95.0, 60.0]"
28,2003,ERI,Eritrea,SDN,Sudan,AUS,Australia,24,"[39.0, 15.0]","[30.0, 15.0]","[133.0, -27.0]"
29,2003,SDN,Sudan,UGA,Uganda,USA,United States of America,11,"[30.0, 15.0]","[32.0, 1.0]","[-97.0, 38.0]"
30,2003,COD,Dem. Rep. of the Congo,KEN,Kenya,SWE,Sweden,5,"[25.0, 0.0]","[38.0, 1.0]","[15.0, 62.0]"
31,2003,SDN,Sudan,KEN,Kenya,CAN,Canada,557,"[30.0, 15.0]","[38.0, 1.0]","[-95.0, 60.0]"
32,2003,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,AUS,Australia,12,"[25.0, 0.0]","[35.0, -6.0]","[133.0, -27.0]"
33,2003,ERI,Eritrea,KEN,Kenya,SWE,Sweden,1,"[39.0, 15.0]","[38.0, 1.0]","[15.0, 62.0]"
